x y
0.49 0.545
0.61 0.545
0.6 0.545
0.52 0.545
0.44 0.545
0.45 0.545
0.55 0.545
0.54 0.545
0.52 0.545
0.43 0.545
0.47 0.545
0.5 0.545
0.48 0.545
0.54 0.545
0.6 0.545
0.57 0.545
0.54 0.545
0.49 0.545
0.54 0.545
0.49 0.545
0.55 0.545
0.57 0.545
0.43 0.545
0.55 0.545
0.36 0.545
0.42 0.545
0.5 0.545
0.44 0.545
0.51 0.545
0.49 0.545
0.12 0.565
0.18 0.49
0.06 0.55
0.13 0.615
0.07 0.625
0.03 0.715
0.03 0.55
-0.07 0.635
0.06 0.645
0.1 0.52
0.2 0.58
0.04 0.48
0.09 0.575
0.18 0.57
0.36 0.86
0.29 0.595
0.03 0.55
0.36 0.575
0.13 0.535
0.09 0.575
0.09 0.58
0.08 0.505
0.29 0.55
0.11 0.605
0.05 0.635
0.0 0.565
-0.08 0.54
-0.13 0.525
0.26 0.555
0.22 0.7
0.11 0.765
0.36 0.685
0.19 0.585
0.41 0.875
0.06 0.78
0.27 0.9
0.08 0.615
0.18 0.77
0.41 0.725
0.45 0.89
0.1 0.81
0.3 0.775
0.43 0.78
0.54 0.795
0.14 0.78
0.43 0.925
0.53 0.96
0.44 0.76
0.44 0.54
0.19 0.625
0.36 0.845
0.38 0.67
0.39 0.895
0.37 0.7
0.33 0.795
0.19 0.78
0.13 0.615
0.51 0.85
0.19 0.9
0.37 0.735
0.48 0.83
0.35 0.87
0.62 0.915
0.57 0.96
0.43 0.995
0.52 0.925
0.54 0.995
0.21 0.805
0.27 0.885
0.51 0.99
0.25 0.82
0.49 0.995
0.43 0.95
0.48 0.98
0.34 0.865
0.51 0.865
0.52 0.78
0.44 0.925
0.28 0.81
0.53 0.86
0.6 0.9
0.31 0.96
0.54 0.95
0.49 0.875
0.47 0.955
0.38 0.785
0.47 0.955
0.44 0.955
0.49 0.99
0.26 0.86
0.25 0.965
0.54 1.0
0.44 0.92
0.4 1.0
0.5 1.0
0.47 0.945
0.4 1.0
0.42 0.99
0.47 0.975
0.44 1.0
0.43 1.0
0.47 1.0
0.48 0.965
0.42 1.0
0.43 1.0
0.46 1.0
0.42 1.0
0.49 0.98
0.48 1.0
0.47 0.985
0.47 0.87
0.25 1.0
0.38 1.0
0.46 1.0
0.49 0.97
0.41 0.995
0.45 0.96
0.44 0.955
0.51 0.84
0.46 1.0
0.48 1.0
0.51 1.0
0.55 1.0
0.46 1.0
0.47 1.0
0.51 0.995
0.5 1.0
0.49 1.0
0.37 1.0
0.47 1.0
0.46 1.0
0.47 1.0
0.43 1.0
0.47 1.0
0.43 1.0
0.47 1.0
0.44 1.0
0.57 1.0
0.39 1.0
0.47 1.0
0.45 1.0
0.47 1.0
0.5 1.0
0.5 1.0
0.42 1.0
0.55 1.0
0.49 1.0
0.47 1.0
0.48 1.0
0.43 1.0
0.47 1.0
0.4 1.0
0.56 1.0
0.42 1.0
0.55 1.0
0.49 1.0
0.51 1.0
0.44 1.0
0.6 1.0
0.5 0.99
0.49 1.0
0.44 0.995
0.51 1.0
0.45 1.0
0.58 1.0
0.44 1.0
0.5 1.0
0.54 1.0
0.46 0.805
0.51 1.0
0.43 1.0
0.4 1.0
0.61 1.0
0.48 1.0
0.46 1.0
0.44 1.0
0.49 1.0
0.52 1.0
0.48 1.0
0.48 1.0
0.44 1.0
0.56 1.0
0.44 1.0
0.52 1.0
0.49 0.955
0.55 1.0
0.53 1.0
0.46 1.0
0.52 1.0
0.49 0.995
0.42 1.0
0.47 0.97
0.51 1.0
0.45 1.0
0.49 1.0
0.53 1.0
0.5 0.88
0.55 1.0
0.49 1.0
0.49 1.0
0.49 1.0
0.55 1.0
0.59 0.99
0.49 1.0
0.43 1.0
0.5 1.0
0.48 1.0
0.53 1.0
0.48 0.85
0.45 0.925
0.5 1.0
0.46 1.0
0.51 1.0
0.49 0.765
0.53 0.86
0.4 0.84
0.48 0.785
0.54 0.885
0.45 1.0
0.57 1.0
0.59 1.0
0.46 1.0
0.55 0.885
0.54 0.765
0.46 1.0
0.55 0.955
0.51 0.67
0.54 0.805
0.55 1.0
0.51 0.55
0.51 0.925
0.43 0.98
0.48 1.0
0.5 1.0
0.48 1.0
0.54 1.0
0.5 0.785
0.53 0.55
0.47 0.55
0.49 1.0
0.52 0.545
0.41 0.55
0.53 0.785
0.5 0.885
0.61 0.765
0.51 0.55
0.49 0.55
0.47 0.765
0.41 0.55
0.46 0.55
0.49 0.55
0.56 0.55
0.5 0.825
0.49 0.8
0.7 0.765
0.52 0.43
0.48 0.545
0.51 1.0
0.53 1.0
0.45 0.77
0.55 0.78
0.44 0.55
0.58 0.55
0.48 0.545
0.47 0.55
0.61 0.55
0.53 0.545
0.51 0.545
0.5 0.545
0.46 0.545
0.58 0.545
0.47 0.545
0.51 0.545
0.51 0.545
0.45 0.545
0.5 0.545
0.48 0.545
0.38 0.545
0.51 0.545
0.51 0.545
0.52 0.545
0.48 0.545
0.46 0.545
0.51 0.545
0.5 0.545
0.51 0.545
0.46 0.545
0.49 0.545
0.51 0.545
0.45 0.545
0.5 0.545
0.45 0.545
0.57 0.545
0.47 0.545
0.55 0.545
0.47 0.545
