x y
0.0 0.545
0.0 0.59
0.0 0.465
0.0 0.465
0.0 0.515
0.0 0.515
0.0 0.515
0.0 0.465
0.0 0.515
0.0 0.515
0.0 0.515
0.0 0.465
0.0 0.59
0.0 0.515
0.0 0.525
0.0 0.515
0.0 0.465
0.0 0.515
0.0 0.545
0.0 0.465
0.0 0.515
0.0 0.56
0.0 0.515
0.0 0.525
0.0 0.465
0.0 0.525
0.0 0.565
0.0 0.515
0.0 0.515
0.0 0.515
0.18 0.595
0.15 0.605
0.02 0.99
0.02 0.635
0.13 0.99
0.1 0.57
0.04 0.525
0.05 0.605
0.02 0.99
0.08 0.515
0.06 0.58
0.12 0.58
0.17 0.57
0.09 0.58
0.06 0.755
0.23 0.57
0.12 0.605
0.07 0.535
0.06 0.585
0.02 0.545
0.11 0.565
0.04 0.62
0.13 0.6
0.1 0.585
0.04 0.57
0.04 0.62
0.14 0.515
0.08 0.58
0.09 0.885
0.27 0.57
0.19 0.55
0.15 0.555
0.11 0.99
0.01 0.585
0.21 0.84
0.2 0.54
0.24 0.6
0.15 0.99
0.01 0.535
0.09 0.99
0.12 0.935
0.11 0.56
0.15 0.825
0.13 0.555
0.08 0.59
0.12 0.535
0.0 0.55
0.07 0.565
0.07 0.815
0.06 0.99
0.13 0.545
0.23 0.99
0.17 0.56
-0.02 0.625
0.16 0.83
0.11 0.99
0.17 0.58
0.12 0.935
0.12 0.57
0.15 0.53
0.08 0.99
0.03 0.99
0.14 0.935
0.25 0.61
0.09 0.99
0.01 0.99
0.07 0.99
0.06 0.97
0.1 0.99
0.13 0.71
0.09 0.72
0.03 0.635
0.25 0.625
0.06 0.99
0.06 0.905
0.05 0.57
-0.03 0.845
0.06 0.73
0.19 0.99
0.13 0.99
0.1 0.99
0.03 0.89
0.1 0.99
0.08 0.97
0.02 0.855
0.13 0.99
0.11 0.975
0.06 0.99
0.06 0.99
0.18 0.99
0.06 0.99
0.15 0.99
0.04 0.955
0.12 0.945
0.1 0.99
0.07 0.59
0.03 0.99
0.07 0.99
0.05 0.99
0.19 0.775
0.15 0.99
0.04 0.585
0.01 0.99
0.06 0.99
0.07 0.99
0.09 0.99
0.09 0.835
0.05 0.99
0.02 0.99
0.09 0.99
0.06 0.49
0.05 0.99
0.03 0.99
0.12 0.845
0.09 0.99
0.04 0.985
0.07 0.535
0.11 0.99
0.13 0.955
0.1 0.99
0.04 0.99
0.06 0.99
0.05 0.99
0.07 0.99
0.0 0.99
0.03 0.8
0.02 0.99
0.1 0.99
0.05 0.99
0.06 0.98
0.01 0.99
0.08 0.98
0.03 0.99
0.05 0.99
0.05 0.99
0.02 0.61
0.02 0.99
-0.02 0.535
0.02 0.99
0.06 0.99
-0.1 0.53
0.0 0.99
0.01 0.52
0.03 0.99
0.01 0.735
0.0 0.99
0.05 0.665
0.0 0.99
0.12 0.99
0.08 0.99
0.0 0.62
0.07 0.595
0.06 0.99
0.0 0.99
0.02 0.85
0.02 0.99
0.0 0.99
0.03 0.855
0.04 0.97
0.01 0.635
0.07 0.99
0.03 0.99
0.04 0.545
0.05 0.97
0.06 0.99
0.04 0.99
0.03 0.99
0.01 0.99
0.01 0.99
0.09 0.99
0.03 0.96
0.01 0.99
0.05 0.99
-0.02 0.99
0.01 0.99
0.03 0.895
0.02 0.99
0.0 0.71
0.01 0.99
0.08 0.84
0.0 0.99
0.04 0.99
0.02 0.99
0.01 0.955
0.0 0.635
0.02 0.52
0.05 0.99
0.0 0.605
0.01 0.95
0.01 0.905
0.0 0.715
0.0 0.99
0.02 0.99
0.06 0.965
0.0 0.585
0.0 0.99
0.03 0.745
0.07 0.96
0.0 0.81
0.02 0.99
-0.02 0.505
0.0 0.91
0.0 0.635
0.02 0.99
0.09 0.99
0.02 0.99
0.04 0.99
0.01 0.99
0.0 0.84
0.03 0.84
0.0 0.865
0.0 0.525
0.02 0.97
0.0 0.525
0.02 0.93
0.0 0.635
0.01 0.94
0.0 0.525
0.0 0.99
0.0 0.635
0.0 0.525
0.0 0.675
0.0 0.99
0.0 0.715
0.0 0.715
0.0 0.635
0.0 0.675
0.0 0.525
0.0 0.865
0.04 0.785
0.0 0.99
0.0 0.99
0.0 0.99
0.01 0.99
-0.01 0.99
0.0 0.99
0.0 0.605
0.0 0.525
0.0 0.525
0.0 0.8
0.0 0.525
0.0 0.735
0.0 0.525
0.0 0.525
0.0 0.525
0.01 0.91
0.0 0.635
0.0 0.525
0.0 0.525
0.0 0.635
0.0 0.99
0.0 0.99
0.0 0.65
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.635
0.0 0.525
0.0 0.99
0.01 0.715
0.0 0.525
0.0 0.625
0.0 0.99
0.0 0.525
0.0 0.525
0.0 0.715
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
0.0 0.525
