x y
0.54 0.515
0.5 0.515
0.48 0.515
0.54 0.515
0.57 0.515
0.5 0.515
0.51 0.515
0.49 0.515
0.54 0.515
0.45 0.515
0.55 0.515
0.5 0.515
0.54 0.515
0.52 0.515
0.45 0.515
0.45 0.515
0.49 0.515
0.57 0.515
0.5 0.515
0.47 0.515
0.53 0.515
0.55 0.515
0.44 0.515
0.41 0.515
0.57 0.515
0.55 0.515
0.57 0.515
0.53 0.515
0.55 0.515
0.47 0.515
0.12 0.545
0.09 0.455
0.16 0.5
0.11 0.455
0.14 0.545
0.04 0.515
0.08 0.515
0.16 0.41
0.06 0.515
0.16 0.52
0.08 0.41
0.11 0.41
0.05 0.55
0.05 0.515
0.15 0.52
0.07 0.58
0.1 0.605
0.08 0.515
0.11 0.515
0.03 0.515
0.13 0.535
0.02 0.515
0.02 0.55
0.06 0.515
0.09 0.515
0.05 0.515
0.04 0.55
0.08 0.515
0.1 0.585
0.1 0.58
0.12 0.54
0.19 0.445
0.2 0.535
0.12 0.545
0.17 0.52
0.1 0.545
0.18 0.51
0.31 0.505
0.07 0.515
0.16 0.53
0.24 0.555
0.11 0.515
0.07 0.515
0.19 0.41
0.11 0.515
0.3 0.565
0.12 0.515
0.24 0.535
0.16 0.515
0.29 0.555
0.16 0.515
0.14 0.54
0.13 0.41
0.18 0.44
0.15 0.515
0.1 0.515
0.16 0.525
0.07 0.515
0.22 0.545
0.15 0.515
0.21 0.515
0.25 0.525
0.24 0.535
0.28 0.41
0.16 0.515
0.15 0.545
0.25 0.55
0.33 0.52
0.24 0.49
0.22 0.51
0.23 0.515
0.25 0.55
0.17 0.515
0.28 0.415
0.3 0.455
0.12 0.515
0.22 0.515
0.32 0.535
0.27 0.56
0.36 0.5
0.13 0.515
0.31 0.495
0.33 0.525
0.21 0.51
0.1 0.515
0.19 0.52
0.25 0.515
0.23 0.515
0.27 0.535
0.25 0.515
0.21 0.41
0.4 0.43
0.21 0.5
0.31 0.545
0.33 0.515
0.45 0.455
0.39 0.515
0.35 0.51
0.3 0.41
0.24 0.455
0.28 0.515
0.32 0.515
0.36 0.515
0.44 0.605
0.23 0.535
0.37 0.41
0.27 0.41
0.11 0.515
0.35 0.41
0.31 0.535
0.37 0.515
0.21 0.515
0.29 0.41
0.34 0.525
0.29 0.41
0.35 0.455
0.3 0.545
0.3 0.65
0.3 0.65
0.22 0.515
0.39 0.515
0.36 0.545
0.31 0.515
0.31 0.515
0.38 0.41
0.21 0.515
0.18 0.515
0.43 0.545
0.26 0.515
0.39 0.41
0.31 0.515
0.26 0.515
0.27 0.41
0.38 0.475
0.27 0.515
0.37 0.59
0.24 0.515
0.31 0.535
0.26 0.515
0.32 0.515
0.22 0.515
0.41 0.515
0.4 0.515
0.39 0.41
0.28 0.41
0.4 0.5
0.36 0.41
0.27 0.515
0.42 0.41
0.4 0.41
0.4 0.535
0.33 0.515
0.4 0.515
0.39 0.515
0.37 0.515
0.37 0.535
0.36 0.525
0.33 0.515
0.34 0.5
0.36 0.515
0.43 0.515
0.32 0.515
0.41 0.515
0.42 0.515
0.37 0.515
0.43 0.41
0.38 0.515
0.37 0.515
0.32 0.515
0.36 0.485
0.4 0.515
0.46 0.455
0.32 0.5
0.43 0.515
0.45 0.515
0.41 0.41
0.29 0.485
0.28 0.515
0.41 0.545
0.37 0.41
0.31 0.515
0.41 0.515
0.42 0.515
0.47 0.545
0.5 0.515
0.47 0.515
0.33 0.545
0.46 0.515
0.42 0.41
0.49 0.515
0.41 0.515
0.43 0.515
0.41 0.485
0.34 0.515
0.47 0.515
0.41 0.515
0.4 0.515
0.42 0.545
0.41 0.41
0.38 0.545
0.54 0.515
0.37 0.535
0.37 0.515
0.37 0.515
0.37 0.515
0.44 0.515
0.39 0.455
0.39 0.515
0.36 0.515
0.43 0.515
0.44 0.535
0.53 0.515
0.38 0.515
0.52 0.515
0.44 0.515
0.48 0.515
0.43 0.515
0.35 0.515
0.63 0.515
0.46 0.515
0.49 0.515
0.42 0.515
0.46 0.515
0.39 0.515
0.38 0.515
0.47 0.515
0.43 0.515
0.46 0.515
0.51 0.515
0.42 0.515
0.48 0.515
0.45 0.515
0.5 0.515
0.42 0.515
0.39 0.515
0.44 0.515
0.49 0.515
0.46 0.515
0.49 0.515
0.38 0.545
0.49 0.515
0.52 0.515
0.52 0.515
0.48 0.515
0.41 0.515
0.45 0.515
0.54 0.515
0.47 0.515
0.46 0.515
0.45 0.515
0.51 0.515
0.46 0.515
0.45 0.535
0.38 0.515
0.47 0.515
0.45 0.515
0.39 0.515
0.44 0.515
0.49 0.515
0.44 0.515
0.47 0.515
0.54 0.515
0.55 0.515
0.43 0.515
0.44 0.515
0.41 0.515
0.52 0.515
0.46 0.515
0.55 0.515
0.47 0.515
0.47 0.515
0.5 0.515
0.52 0.515
0.55 0.515
0.45 0.515
0.47 0.515
0.53 0.515
0.46 0.515
0.49 0.515
0.5 0.515
0.54 0.515
0.55 0.515
0.45 0.515
0.48 0.515
0.45 0.515
0.5 0.515
0.52 0.515
0.47 0.515
0.59 0.515
0.45 0.515
0.56 0.515
0.53 0.515
0.48 0.515
0.53 0.515
0.55 0.515
0.43 0.515
0.5 0.515
0.57 0.515
